Date,Open,High,Low,Close,Adj Close,TotalVolume
8/26/2014,264.98,265.5,261.66,261.74,,3822572
8/27/2014,263.5,264.24,260.29,263.25,,2990532
8/28/2014,261.89,264.48,261.64,263.86,,2854737
8/29/2014,268.7,272,267.51,269.7,,6453958
9/2/2014,275.5,284.89,274.3,284.12,,9852351
9/3/2014,287.67,288,280.1,281.19,,6779735
9/4/2014,284.01,291.42,280.4,286.04,,8341749
9/5/2014,282.55,282.9,272.51,277.39,,11176167
9/8/2014,277.62,284.88,277.52,282.11,,5505040
9/9/2014,282.99,285.49,277,278.48,,4567958
9/10/2014,279.5,281.41,273.66,281.1,,3785988
9/11/2014,280.46,284.79,278.63,280.31,,3768584
9/12/2014,280.5,282.39,277,279.2,,3328302
9/15/2014,274.37,274.4,249.13,253.86,,16464952
9/16/2014,255.15,262.46,252.42,260.74,,8303972
9/17/2014,262.41,264.7,259.5,261.38,,5179923
9/18/2014,263.36,265.6,262.32,263.82,,3699314
9/19/2014,257.99,261.43,255.27,259.32,,6811714
9/22/2014,255,256.02,244.71,250.03,,8222963
9/23/2014,245.22,253.8,245,250.41,,5660048
9/24/2014,251.12,252.84,247.04,252.14,,3754376
9/25/2014,252.52,254.96,246.1,246.95,,4843712
9/26/2014,248.25,249.73,246.07,246.6,,3798841
9/29/2014,244,248.64,241.38,245.26,,4854687
9/30/2014,246.92,247.65,240.12,242.68,,4248127
10/1/2014,242.2,242.66,235.65,240.24,,5946510
10/2/2014,250.2,252.79,245.36,251.42,,9002001
10/3/2014,253.06,256.5,251.03,255.21,,5408665
10/6/2014,259.13,262.49,257.8,260.62,,7719055
10/7/2014,258.53,261.46,255.73,259.57,,4491569
10/8/2014,260.1,262.88,252.64,259.28,,5062615
10/9/2014,262.25,265.54,254.4,257.01,,7361316
10/10/2014,244.64,245.89,235.2,236.91,,12898275
10/13/2014,238.57,238.96,221,224.59,,11276552
10/14/2014,228.25,232.47,223,227.06,,7112339
10/15/2014,220,230.99,217.32,229.7,,9151648
10/16/2014,219.72,229.92,219.1,226.35,,5404565
10/17/2014,233.38,234.77,226.55,227.48,,10551850
10/20/2014,226.72,232.4,225.51,230.47,,3499686
10/21/2014,234.27,235.39,230.8,235.34,,4130345
10/22/2014,233.19,237.39,230.56,231.1,,4123397
10/23/2014,234.65,236.28,232,235.29,,3499882
10/24/2014,236.27,237.8,231.2,235.24,,3466927
10/27/2014,234.25,234.61,220.31,221.67,,9553348
10/28/2014,229.6,244.6,228.25,242.77,,10516297
10/29/2014,241.13,241.5,235.64,238.1,,4967640
10/30/2014,238.14,240.5,235.06,238.66,,3228371
10/31/2014,242.51,243.12,238.75,241.7,,3775327
11/3/2014,243,247.56,241.32,242.59,,4207268
11/4/2014,240.49,242.35,236.53,238.93,,3682572
11/5/2014,241,241.36,230.53,230.97,,9045925
11/6/2014,234.49,246.69,228.5,241.22,,15354717
11/7/2014,242.19,242.84,237.2,240.2,,5161023
11/10/2014,239.11,242.88,236.8,241.93,,4577208
11/11/2014,242.55,251.82,242,251.08,,7952565
11/12/2014,249.72,252.34,245.58,249.1,,5870818
11/13/2014,250.62,255.75,250.25,251.7,,6236036
11/14/2014,250,258.85,248.5,258.68,,6101145
11/17/2014,257.49,259,252.02,253.98,,4025695
11/18/2014,255.86,259.99,255.51,257.7,,4474294
11/19/2014,250.61,251.88,245.6,247.74,,7918486
11/20/2014,247.95,250.93,246,248.71,,3587220
11/21/2014,252.21,252.78,242.17,242.78,,7485059
11/24/2014,245.2,247.6,240.64,246.72,,4789708
11/25/2014,247.35,249.72,246.09,248.09,,3159804
11/26/2014,248.34,249,246.6,248.44,,1981819
11/28/2014,245.35,246.69,242.52,244.52,,2119688
12/1/2014,241.16,242.47,229.01,231.64,,8619351
12/2/2014,234.57,234.88,228,231.43,,5887046
12/3/2014,226.25,229.72,225.5,229.3,,5307733
12/4/2014,228.6,230.9,227.81,228.28,,3879208
12/5/2014,228.67,229.39,222.26,223.71,,6063619
12/8/2014,221.54,224.86,212.34,214.36,,9225619
12/9/2014,209.34,217.73,204.27,216.89,,9431502
12/10/2014,214.13,216.77,207.7,209.84,,7314139
12/11/2014,210.53,215.43,208.23,208.88,,6694398
12/12/2014,204.82,211.68,204.5,207,,7173782
12/15/2014,209.29,209.8,202.67,204.04,,5218252
12/16/2014,200.89,203.68,195.37,197.81,,8426105
12/17/2014,193.06,206.65,192.65,205.82,,7367834
12/18/2014,212.38,218.44,211.8,218.26,,7483349
12/19/2014,220.19,220.4,214.5,219.29,,6910461
12/22/2014,220,224.06,218.26,222.6,,4806917
12/23/2014,223.81,224.32,219.52,220.97,,4513321
12/24/2014,219.77,222.5,219.25,222.26,,1333518
12/26/2014,221.51,228.5,221.5,227.82,,3327016
12/29/2014,226.9,227.91,224.02,225.71,,2811828
12/30/2014,223.99,225.65,221.4,222.23,,2903242
12/31/2014,223.09,225.68,222.25,222.41,,2402097
1/2/2015,222.87,223.25,213.26,219.31,,4764443
1/5/2015,214.55,216.5,207.16,210.09,,5368477
1/6/2015,210.06,214.2,204.21,211.28,,6261936
1/7/2015,213.35,214.78,209.78,210.95,,2968390
1/8/2015,212.81,213.8,210.01,210.62,,3442509
1/9/2015,208.92,209.98,204.96,206.66,,4668295
1/12/2015,203.05,204.47,199.25,202.21,,5950280
1/13/2015,203.32,207.61,200.91,204.25,,4477320
1/14/2015,185.83,195.2,185,192.69,,11551855
1/15/2015,194.49,195.75,190,191.87,,5216524
1/16/2015,190.7,194.49,189.65,193.07,,3603158
1/20/2015,193.87,194.12,187.04,191.93,,4503182
1/21/2015,189.55,198.68,189.51,196.57,,4153043
1/22/2015,197,203.24,195.2,201.62,,4116905
1/23/2015,200.29,203.5,198.33,201.29,,3442371
1/26/2015,201.83,208.62,201.05,206.55,,3234522
1/27/2015,204.42,208.03,203.3,205.98,,2781024
